手机型号,价格,运行内存,电池容量,机身颜色,前置像素,后置像素
三星（SAMSUNG） Galaxy S8+（SM-G9550） 雾屿蓝 全网通(4G+64G),5499.00元,4GB,0mAh,其他,800万像素,1200万像素
,5999.00元,None,NonemAh,None,None,None
,2889.00元,None,NonemAh,None,None,None
三星（SAMSUNG） GALAXY C8 SM-C7100全网通4G智能手机 枫叶金 32G,1799.00元,4GB,3000mAh,其他,1600万像素,1600万像素
三星（SAMSUNG） Galaxy Folder2 SM-G1650 翻盖双卡 全网通4G手机 琉璃黑,1799.00元,2GB,1950mAh,其他,500万像素,800万像素
三星（SAMSUNG） Galaxy S9（SM-G9600）手机 夕雾紫 全网通(4GB+64GB),5799.00元,4GB,3000mAhmAh,黑色,800万像素,1200万像素
,1880.00元,None,NonemAh,None,None,None
,5840.00元,None,NonemAh,None,None,None
【电信赠费版】三星 Galaxy Note8（SM-N9500）6GB+128GB 谜夜黑 移动联通电信4G手机 双卡双待,7388.00元,6GB,3300mAhmAh,谜夜黑,800万像素,双1200万像素
,2599.00元,None,NonemAh,None,None,None
,388.00元,None,NonemAh,None,None,None
,6988.00元,None,NonemAh,None,None,None
,3999.00元,None,NonemAh,None,None,None
,258.00元,None,NonemAh,None,None,None
,3399.00元,None,NonemAh,None,None,None
【电信赠费版】三星 Galaxy S9（SM-G9600/DS）4GB+128GB 莱茵蓝 移动联通电信4G手机 双卡双待,6099.00元,4GB,3000mAh,莱茵蓝,800万像素,1200万像素
三星（SAMSUNG） Galaxy S9 全面屏手机 移动联通电信4G 双卡双待 谜夜黑 4G+（SM-G9608）64GROM,5799.00元,4GB,3000mAh,金色,800万像素,1200万像素
三星 Galaxy Note8（SM-N9500）6GB+128GB 谜夜黑 移动联通电信4G手机 双卡双待,7388.00元,6GB,3300mAhmAh,谜夜黑,800万像素,双1200万像素
【联通赠费版】三星 Galaxy S9+（SM-G9650/DS）6GB+128GB 谜夜黑 移动联通电信4G手机 双卡双待,6999.00元,6GB,3500mAh,谜夜黑,800万像素,双1200万像素
三星 Galaxy Note8（SM-N9500）6GB+128GB 星河蓝 移动联通电信4G手机 双卡双待,7388.00元,6GB,3300mAhmAh,星河蓝,800万像素,双1200万像素
,388.00元,None,NonemAh,None,None,None
,1599.00元,None,NonemAh,None,None,None
,2958.00元,None,NonemAh,None,None,None
,2999.00元,None,NonemAh,None,None,None
,388.00元,None,NonemAh,None,None,None
,1899.00元,None,NonemAh,None,None,None
,4988.00元,None,NonemAh,None,None,None
,266.00元,None,NonemAh,None,None,None
三星（SAMSUNG） 三星 Galaxy ON5 (G5528) 移动4G智能手机 流沙金 移动版(2G+16G),880.00元,2GB,2600以官网信息为准mAh,其他,500万像素,1300万像素
,12988.00元,None,NonemAh,None,None,None
,5530.00元,None,NonemAh,None,None,None
,2788.00元,None,NonemAh,None,None,None
,498.00元,None,NonemAh,None,None,None
,9399.00元,None,NonemAh,None,None,None
,7999.00元,None,NonemAh,None,None,None
三星（SAMSUNG） Galaxy S8+（SM-G9550） 谜夜黑 全网通(4GB RAM+64GB ROM),5499.00元,4GB,3500mAh,其他,800万像素,1200万像素
【联通赠费版】三星 Galaxy S9+（SM-G9650/DS）6GB+128GB 莱茵蓝 移动联通电信4G手机 双卡双待,6999.00元,6GB,3500mAh,莱茵蓝,800万像素,双1200万像素
,10988.00元,None,NonemAh,None,None,None
,1799.00元,None,NonemAh,None,None,None
【联通赠费版】三星Galaxy S8（SM-G9500）4GB+64GB版 雾屿蓝 移动联通电信4G手机 双卡双待,4999.00元,4GB,3000mAh,雾屿蓝,800万像素,1200万像素
,998.00元,None,NonemAh,None,None,None
三星（SAMSUNG）S8 Galaxy 移动4G+智版手机 谜夜黑 4G+64G,4999.00元,4GB,3000mAhmAh,其他,800万像素,1200万像素
【电信赠费版】三星 Galaxy S9+（SM-G9650/DS）6GB+64GB 夕雾紫 移动联通电信4G手机 双卡双待,6699.00元,6GB,3500mAh,夕雾紫,800万像素,双1200万像素
,2699.00元,None,NonemAh,None,None,None
,3299.00元,None,NonemAh,None,None,None
,189.00元,None,NonemAh,None,None,None
,398.00元,None,NonemAh,None,None,None
,299.00元,None,NonemAh,None,None,None
,2450.00元,None,NonemAh,None,None,None
,2799.00元,None,NonemAh,None,None,None
,26888.00元,None,NonemAh,None,None,None
,1688.00元,None,NonemAh,None,None,None
,1666.00元,None,NonemAh,None,None,None
三星（SAMSUNG） Galaxy S9+（SM-G9650/DS） 谜夜黑 全网通(6GB+64GB),6699.00元,6GB,3500mAhmAh,黑色,800万像素,双1200万像素
三星（SAMSUNG） Galaxy S8+（G9550）移动联通电信4G双卡手机 谜夜黑 全网通(4G+64G),5499.00元,其他,3500 已官网信息为准mAh,其他,800万像素,1200万像素
,4899.00元,None,NonemAh,None,None,None
三星（SAMSUNG） 三星(SAMSUNG) W2016 双卡双待 电信4G手机 尊崇银2016+ （3G +64G）标配,5858.00元,3GB,其他mAh,其他,500万像素,1600万像素
,4499.00元,None,NonemAh,None,None,None
,888.00元,None,NonemAh,None,None,None
,1668.00元,None,NonemAh,None,None,None
,5808.00元,None,NonemAh,None,None,None
,6999.00元,None,NonemAh,None,None,None
,298.00元,None,NonemAh,None,None,None
,4308.00元,None,NonemAh,None,None,None
,2399.00元,None,NonemAh,None,None,None
,289.00元,None,NonemAh,None,None,None
,1399.00元,None,NonemAh,None,None,None
,4188.00元,None,NonemAh,None,None,None
三星（SAMSUNG） Galaxy On5（G5700）移动联通电信4G手机3+32G 流沙金,1199.00元,3GB,2600以官网信息为准mAh,其他,800万像素,1300万像素
,16800.00元,None,NonemAh,None,None,None
,5399.00元,None,NonemAh,None,None,None
,4999.00元,None,NonemAh,None,None,None
三星（SAMSUNG） 三星 Galaxy J3 手机 流沙金 (J3300)全网通(3G+32G),929.00元,3GB,2600mAh,其他,500万像素,1300万像素
【联通赠费版】三星 Galaxy S9（SM-G9600/DS）4GB+64GB 夕雾紫 移动联通电信4G手机 双卡双待,5799.00元,4GB,3000mAh,夕雾紫,800万像素,1200万像素
,285.00元,None,NonemAh,None,None,None
,4299.00元,None,NonemAh,None,None,None
三星（SAMSUNG） 三星W2017 双卡双待 翻盖4G手机 金色 电信(4G RAM+64G ROM),8908.00元,4GB,以官网信息为准mAh,其他,500万像素,1200万像素
,6088.00元,None,NonemAh,None,None,None
,1999.00元,None,NonemAh,None,None,None
,2999.00元,None,NonemAh,None,None,None
三星（SAMSUNG） Galaxy Note8（SM-N9500）6GB+128GB 旷野灰,7388.00元,6GB,3300mAhmAh,黑色,800万像素,双1200万像素
,2499.00元,None,NonemAh,None,None,None
三星（SAMSUNG） S8+（G9550）全视全面屏手机 烟晶灰 全网通(4G+64G),5499.00元,其他,3500mAh,其他,800万像素,1200万像素
,5218.00元,None,NonemAh,None,None,None
,1988.00元,None,NonemAh,None,None,None
,1188.00元,None,NonemAh,None,None,None
,3199.00元,None,NonemAh,None,None,None
,5999.00元,None,NonemAh,None,None,None
,5998.00元,None,NonemAh,None,None,None
,108.00元,None,NonemAh,None,None,None
,18800.00元,None,NonemAh,None,None,None
,7388.00元,None,NonemAh,None,None,None
,2899.00元,None,NonemAh,None,None,None
,4998.00元,None,NonemAh,None,None,None
,251.00元,None,NonemAh,None,None,None
,1678.00元,None,NonemAh,None,None,None
三星（SAMSUNG） Galaxy S8（SM-G9500） 勃艮第红 全网通(4GB RAM+64GB ROM)标配,4999.00元,4GB,3000mAh,其他,800万像素,1200万像素
,258.00元,None,NonemAh,None,None,None
,4299.00元,None,NonemAh,None,None,None
【联通赠费版】三星 Galaxy S9（SM-G9600/DS）4GB+128GB 莱茵蓝 移动联通电信4G手机 双卡双待,6099.00元,4GB,3000mAh,莱茵蓝,800万像素,1200万像素
,2399.00元,None,NonemAh,None,None,None
三星（SAMSUNG） 三星(SAMSUNG) W2016双卡双待 4G手机 尊贵金 金色,7888.00元,3GB,2000mAh,金色,500万像素,1600万像素
,10194.00元,None,NonemAh,None,None,None
三星（SAMSUNG） 领世旗舰8（G9298）手机 黑色 移动联通双4G(4G RAM+64G ROM),11388.00元,4GB,以官网信息为准mAh,黑色,500万像素,1200万像素
三星（SAMSUNG） Galaxy J3 （J3300）全网通4G 智能手机 双卡双待 雪夜黑 (3GB RAM+32GB ROM),988.00元,3GB,2600mAhmAh,金色,500万像素,1300万像素
三星（SAMSUNG） Galaxy S8+ 手机 黑 全网通(4GB+64GB),5499.00元,其他,3500mAh,其他,800万像素,1200万像素
,5788.00元,None,NonemAh,None,None,None
,2399.00元,None,NonemAh,None,None,None
,10999.00元,None,NonemAh,None,None,None
三星（SAMSUNG） 三星(SAMSUNG) W2016双卡双待 4G手机 尊贵金 电信4G(3GRAM+64GROM)标配,4860.00元,其他,其他mAh,其他,500万像素,1600万像素
【联通赠费版】三星 Galaxy S9（SM-G9600/DS）4GB+128GB 谜夜黑 移动联通电信4G手机 双卡双待,6099.00元,4GB,3000mAh,谜夜黑,800万像素,1200万像素
三星（SAMSUNG） 三星W2017 翻盖4G手机 金色 电信(4G+64G),9199.00元,4GB,2300mAhmAh,其他,500万像素,1200万像素
,5428.00元,None,NonemAh,None,None,None
,5488.00元,None,NonemAh,None,None,None
三星（SAMSUNG） 三星Galaxy J3（J3300） 手机 流沙金 全网通(3GB +32GB ),949.00元,3GB,2600mAh,其他,500万像素,1300万像素
,188.00元,None,NonemAh,None,None,None
【联通赠费版】三星 Galaxy S9+（SM-G9650/DS）6GB+64GB 谜夜黑 移动联通电信4G手机 双卡双待,6699.00元,6GB,3500mAh,谜夜黑,800万像素,双1200万像素
,7499.00元,None,NonemAh,None,None,None
,5999.00元,None,NonemAh,None,None,None
,1599.00元,None,NonemAh,None,None,None
,9488.00元,None,NonemAh,None,None,None
三星（SAMSUNG） Galaxy C7（SM-C7000）全网通4G智能手机 枫叶金 4G+32G,1549.00元,4GB,3300mAh,其他,800万像素,1600万像素
三星 Galaxy Note8（SM-N9500）6GB+64GB 旷野灰 移动联通电信4G手机 双卡双待,6988.00元,6GB,3300mAhmAh,旷野灰,800万像素,双1200万像素
三星（SAMSUNG） Galaxy J3 （J3300）手机 雪夜黑 全网通 3GB+32GB,979.00元,3GB,2600 mAhmAh,其他,500万像素,1300万像素
三星（SAMSUNG） Galaxy C9 pro（C9000） 全网通 4G手机 枫叶金 6GB+64GB,2549.00元,6GB,4000mAh,其他,1600万像素,1600万像素
三星（SAMSUNG） （SAMSUNG）Galaxy C8（C7100）全网通4G手机 枫叶金 3G+32G,1499.00元,4GB,3000mAh,其他,1600万像素,500万像素；1300万像素
,6399.00元,None,NonemAh,None,None,None
,1799.00元,None,NonemAh,None,None,None
,178.00元,None,NonemAh,None,None,None
三星（SAMSUNG） Galaxy S7 edge（G9350）全网通4G 智能手机 铂光金 （4G RAM+64G ROM）标配,3638.00元,4GB,3600mAh,金色,500万像素,1200万像素
,4288.00元,None,NonemAh,None,None,None
,1999.00元,None,NonemAh,None,None,None
,4388.00元,None,NonemAh,None,None,None
,3358.00元,None,NonemAh,None,None,None
【移动赠费版】三星 Galaxy S9+（SM-G9650/DS）6GB+64GB 谜夜黑 移动联通电信4G手机 双卡双待,6699.00元,6GB,3500mAh,谜夜黑,800万像素,双1200万像素
,699.00元,None,NonemAh,None,None,None
,8800.00元,None,NonemAh,None,None,None
,5088.00元,None,NonemAh,None,None,None
,3680.00元,None,NonemAh,None,None,None
,199.00元,None,NonemAh,None,None,None
,6588.00元,None,NonemAh,None,None,None
,18888.00元,None,NonemAh,None,None,None
,5888.00元,None,NonemAh,None,None,None
【移动赠费版】三星 Galaxy S9（SM-G9608/DS）4GB+64GB 夕雾紫 移动4G+手机 双卡双待,5799.00元,4GB,3000mAh,夕雾紫,800万像素,1200万像素
,13900.00元,None,NonemAh,None,None,None
,5328.00元,None,NonemAh,None,None,None
三星 Galaxy Note8（SM-N9500）6GB+64GB 谜夜黑 移动联通电信4G手机 双卡双待,6988.00元,6GB,3300mAhmAh,谜夜黑,800万像素,双1200万像素
,6588.00元,None,NonemAh,None,None,None
【移动赠费版】三星 Galaxy S9+（SM-G9650/DS）6GB+128GB 谜夜黑 移动联通电信4G手机 双卡双待,6999.00元,6GB,3500mAh,谜夜黑,800万像素,双1200万像素
三星（SAMSUNG） 三星 Galaxy C9 Pro (C9000) 手机 枫叶金 全网通4G(6G RAM+64G ROM)标配,2549.00元,6GB,其他mAh,其他,1600万像素,1600万像素
,5588.00元,None,NonemAh,None,None,None
,4928.00元,None,NonemAh,None,None,None
,6599.00元,None,NonemAh,None,None,None
,7188.00元,None,NonemAh,None,None,None
,13998.00元,None,NonemAh,None,None,None
三星（SAMSUNG） Galaxy S9 64GB全网通4G手机三星新品曲面屏全屏手机 64G 夕雾紫,6030.00元,4GB,3000mAh,黑色,800万像素,1200万像素
,1199.00元,None,NonemAh,None,None,None
三星（SAMSUNG） W2018翻盖智能商务手机 至尊雅金 6GB+64GB,13188.00元,其他,以官网信息为准mAh,其他,500万像素,1200万像素
,2100.00元,None,NonemAh,None,None,None
SAMSUNG 三星W2017翻盖4G智能手机 商务手机 双卡双待 W2017尊贵金 电信4G(4GB+64GB),9199.00元,4GB,以官网信息为准mAh,黑色,500万像素,1200万像素
,1199.00元,None,NonemAh,None,None,None
,199.00元,None,NonemAh,None,None,None
三星（SAMSUNG） Galaxy C9 Pro（SM-C9000）双卡双待 4G手机 蔷薇粉 全网通4G(6G RAM+64G ROM)标配,2428.00元,6GB,4000mAhmAh,其他,1600万像素,1600万像素
,1788.00元,None,NonemAh,None,None,None
三星（SAMSUNG） Galaxy S8（SM-G9500） 勃艮第红 全网通(4G RAM+64G ROM),4999.00元,4GB,3000mAh,其他,800万像素,1200万像素
【分期用】三星 Galaxy S9+（SM-G9650）6GB+64GB 夕雾紫 移动联通电信4G手机 双卡双待,6699.00元,6GB,3500mAh,夕雾紫,800万像素,双1200万像素
,9299.00元,None,NonemAh,None,None,None
,2988.00元,None,NonemAh,None,None,None
,5188.00元,None,NonemAh,None,None,None
,5599.00元,None,NonemAh,None,None,None
,6599.00元,None,NonemAh,None,None,None
,3850.00元,None,NonemAh,None,None,None
三星（SAMSUNG） C8（SM-C7100）全网通移动联通电信4G手机 双卡双待 墨玉黑 C8 32GB,1999.00元,3GB,3000mAhmAh,其他,1600万像素,500万像素；1300万像素
三星（SAMSUNG） Galaxy S8 曲面屏 手机 雾屿蓝 G9500 全网通(4G+64G),4999.00元,4GB,3500mAh,其他,800万像素,1200万像素
,5180.00元,None,NonemAh,None,None,None
三星（SAMSUNG） Galaxy J3 （J3300）移动联通电信全网通4G 手机 流沙金 全网通4G (3G+32G),999.00元,3GB,2600mAh,金色,500万像素,1300万像素
三星（SAMSUNG） W2018 翻盖高端商务智能手机 全网通 雅金 全网通(6G+64G),15988.00元,其他,2300以官网信息为准mAh,其他,500万像素,1200万像素
,3499.00元,None,NonemAh,None,None,None
,4188.00元,None,NonemAh,None,None,None
,299.00元,None,NonemAh,None,None,None
,2199.00元,None,NonemAh,None,None,None
,268.00元,None,NonemAh,None,None,None
,4888.00元,None,NonemAh,None,None,None
,2280.00元,None,NonemAh,None,None,None
,2188.00元,None,NonemAh,None,None,None
,7888.00元,None,NonemAh,None,None,None
,2999.00元,None,NonemAh,None,None,None
,288.00元,None,NonemAh,None,None,None
【联通赠费版】三星 Galaxy S9（SM-G9600/DS）4GB+128GB 夕雾紫 移动联通电信4G手机 双卡双待,6099.00元,4GB,3000mAh,夕雾紫,800万像素,1200万像素
三星（SAMSUNG） W2018 翻盖智能商务手机 至尊雅金,19600.00元,6GB,2300mAhmAh,其他,500万像素,1200万像素
,1899.00元,None,NonemAh,None,None,None
三星（SAMSUNG） 三星 SM-J3300 Galaxy J3全网通2017智能手机 凝霜蓝 官方标配,1098.00元,3GB,2600mAh,黑色,500万像素,1300万像素
,6999.00元,None,NonemAh,None,None,None
,5688.00元,None,NonemAh,None,None,None
,5459.00元,None,NonemAh,None,None,None
,1188.00元,None,NonemAh,None,None,None
三星（SAMSUNG） Galaxy S8+（SM-G9550）4GB+64GB 谜夜黑 S8+ 4GB 64GB版,5499.00元,4GB,3500mAh,黑色,800万像素,1200万像素
【联通赠费版】三星 Galaxy Note8（SM-N9500）6GB 128GB 谜夜黑 移动联通电信4G手机 双卡双待,7388.00元,6GB,3300mAhmAh,谜夜黑,800万像素,双1200万像素
,4089.00元,None,NonemAh,None,None,None
,1450.00元,None,NonemAh,None,None,None
,399.00元,None,NonemAh,None,None,None
,9988.00元,None,NonemAh,None,None,None
三星（SAMSUNG） 三星 Galaxy C5 Pro（C5010） 4G 手机 碧湖蓝 套餐三,2299.00元,4GB,2600mAh,青色（蓝色）,1600万像素,1600万像素
,4688.00元,None,NonemAh,None,None,None
,1588.00元,None,NonemAh,None,None,None
【电信赠费版】三星 Galaxy S9（SM-G9600/DS）4GB+64GB 夕雾紫 移动联通电信4G手机 双卡双待,5799.00元,4GB,3000mAh,夕雾紫,800万像素,1200万像素
,1599.00元,None,NonemAh,None,None,None
,22399.00元,None,NonemAh,None,None,None
,2799.00元,None,NonemAh,None,None,None
,899.00元,None,NonemAh,None,None,None
,3999.00元,None,NonemAh,None,None,None
三星 Galaxy Note8（SM-N9500）6GB+128GB 旷野灰 移动联通电信4G手机 双卡双待,7388.00元,6GB,3300mAhmAh,旷野灰,800万像素,双1200万像素
,4328.00元,None,NonemAh,None,None,None
,6299.00元,None,NonemAh,None,None,None
三星 Galaxy S8+（SM-G9550）4GB+64GB 烟晶灰 移动联通电信4G手机 双卡双待,5499.00元,4GB,3500mAh,烟晶灰,800万像素,1200万像素
三星 Galaxy S8+（SM-G9550）4GB+64GB 雾屿蓝 移动联通电信4G手机 双卡双待,5499.00元,4GB,3500mAh,雾屿蓝,800万像素,1200万像素
,5528.00元,None,NonemAh,None,None,None
三星（SAMSUNG） Galaxy A7（SM-7000）移动联通4G智能老人机手机 双卡双待 金色 2GB+16GB,1099.00元,2GB,2600mAh,金色,500万像素,1300万像素
三星（SAMSUNG） Galaxy J3（J3300）手机 雪夜黑 全网通(3GB RAM+32GB ROM)标配,999.00元,3GB,2600mAh,其他,500万像素,1300万像素
三星（SAMSUNG） Galaxy On5（G5700）手机 嫣霞粉 全网通 3GB+32GB,1208.00元,3GB,2600mAhmAh,金色,800万像素,1300万像素
,6907.00元,None,NonemAh,None,None,None
三星（SAMSUNG） 三星S8+ G9550 全视曲面屏 移动电信联通 双卡双待4G手机 谜夜黑 6GB+128GB,6299.00元,6GB,3500mAh,红色,800万像素,1200万像素
,2299.00元,None,NonemAh,None,None,None
三星（SAMSUNG） Galaxy C8 (SM-C7100) 手机 墨玉黑 全网通(3GB RAM+32GB ROM)标配,1619.00元,3GB,3000mAh,其他,1600万像素,500万像素；1300万像素
三星（SAMSUNG） 三星 Galaxy C9 pro（C9000）全网通4G智能手机 墨玉黑 6G+64G,2649.00元,6GB,4000mAh,其他,1600万像素,1600万像素
,368.00元,None,NonemAh,None,None,None
,15888.00元,None,NonemAh,None,None,None
三星（SAMSUNG） S8+（SM-G9550）全视全面屏手机 芭比粉 全网通（4G+64G）,5499.00元,4GB,3500mAh,其他,800万像素,1200万像素
三星（SAMSUNG） 三星 Galaxy J3 （J3300） 移动联通电信4G手机 蓝色 3GB+32GB,999.00元,3GB,2600mAh,黑色,500万像素,1300万像素
三星（SAMSUNG） Galaxy J3 J3308 移动4G 智能老人机手机 雪夜黑 3G+32G,1039.00元,3GB,2600mAh,黑色,500万像素,1300万像素
,3899.00元,None,NonemAh,None,None,None
,5299.00元,None,NonemAh,None,None,None
,10388.00元,None,NonemAh,None,None,None
,3388.00元,None,NonemAh,None,None,None
三星（SAMSUNG） 三星 Galaxy C5（SM-C5000） 全网通4G手机 双卡双待 蔷薇粉 4+64G,1868.00元,其他,2600mAh,其他,800万像素,1600万像素
三星（SAMSUNG）Galaxy J3（J3300）移动联通电信4G手机双卡双待 雪夜黑,1399.00元,3GB,2600mAhmAh,金色,500万像素,1300万像素
,4888.00元,None,NonemAh,None,None,None
三星（SAMSUNG） 三星 Galaxy C7 Pro SM-C7010全网通4G手机 枫叶金 套餐四,2099.00元,4GB,3300mAhmAh,青色（蓝色）,1600万像素,1600万像素
SAMSUNG 三星Galaxy Note8（SM-N9500）全面屏 4G手机 双卡双待 迷夜黑 全网通(6G+128G),7388.00元,6GB,3300mAh,其他,800万像素,双1200万像素
三星（SAMSUNG） W2018 翻盖智能商务手机 至尊雅金 全网通(6G+64G)标配,23388.00元,6GB,2300mAhmAh,其他,500万像素,1200万像素
,10888.00元,None,NonemAh,None,None,None
,899.00元,None,NonemAh,None,None,None
,1898.00元,None,NonemAh,None,None,None
,6388.00元,None,NonemAh,None,None,None
,1999.00元,None,NonemAh,None,None,None
,5888.00元,None,NonemAh,None,None,None
,12888.00元,None,NonemAh,None,None,None
【电信赠费版】三星 Galaxy S9（SM-G9600/DS）4GB+64GB 谜夜黑 移动联通电信4G手机 双卡双待,5799.00元,4GB,3000mAh,谜夜黑,800万像素,1200万像素
,2299.00元,None,NonemAh,None,None,None
,5088.00元,None,NonemAh,None,None,None
三星（SAMSUNG） Galaxy J3（J3300）4G智能手机 双卡双待 全网通 凝霜蓝 3G+32G,959.00元,3GB,2800mAh,其他,500万像素,1300万像素
,5199.00元,None,NonemAh,None,None,None
,1299.00元,None,NonemAh,None,None,None
三星 Galaxy S8+（SM-G9550）6GB+128GB 谜夜黑 移动联通电信4G手机 双卡双待,6299.00元,6GB,3500mAh,谜夜黑,800万像素,1200万像素
,4788.00元,None,NonemAh,None,None,None
三星（SAMSUNG） Galaxy J3（J3300） 手机 雪夜黑 全网通(3GB+32GB),939.00元,3GB,2600mAh,其他,500万像素,1300万像素
【电信赠费版】三星 Galaxy S9+（SM-G9650/DS）6GB+128GB 莱茵蓝 移动联通电信4G手机 双卡双待,6999.00元,6GB,3500mAh,莱茵蓝,800万像素,双1200万像素
,3598.00元,None,NonemAh,None,None,None
,4799.00元,None,NonemAh,None,None,None
,4699.00元,None,NonemAh,None,None,None
,3968.00元,None,NonemAh,None,None,None
,4299.00元,None,NonemAh,None,None,None
,259.00元,None,NonemAh,None,None,None
,1938.00元,None,NonemAh,None,None,None
,1988.00元,None,NonemAh,None,None,None
,1788.00元,None,NonemAh,None,None,None
,3988.00元,None,NonemAh,None,None,None
,16399.00元,None,NonemAh,None,None,None
【分期用】三星 Galaxy S9（SM-G9600）4GB+64GB 夕雾紫 移动联通电信4G手机 双卡双待,5799.00元,4GB,3000mAh,夕雾紫,800万像素,1200万像素
三星（SAMSUNG） Galaxy C8（SM-C7100） 全网通4G手机 墨玉黑 3GB+32GB,1799.00元,3GB,3000mAhmAh,其他,1600万像素,500万像素；1300万像素
,1299.00元,None,NonemAh,None,None,None
,15988.00元,None,NonemAh,None,None,None
,5088.00元,None,NonemAh,None,None,None
,359.00元,None,NonemAh,None,None,None
三星（SAMSUNG） Samsung/三星 SM-G9298 2017商务翻盖手机 臻尚黑,11888.00元,4GB,2300mAh,黑色,1200万像素,1200万像素
三星（SAMSUNG） Galaxy A9（A9000）移动联通电信4G双卡手机 女王粉 全网通(3G+32G),1899.00元,3GB,其它mAh,其他,500万像素,1300万像素
三星（SAMSUNG） Galaxy C5 Pro（C5010）手机 枫叶金 全网通(4G RAM+64G ROM)标配,1789.00元,4GB,2600 mAhmAh,粉色,1600万像素,1600万像素
,5198.00元,None,NonemAh,None,None,None
,5188.00元,None,NonemAh,None,None,None
三星（SAMSUNG） 三星 Galaxy C8（SM-C7100） 墨玉黑 C8 64公开版（4GB+64GB）,1688.00元,4GB,3000mAhmAh,其他,1600万像素,500万像素；1300万像素
,178.00元,None,NonemAh,None,None,None
,299.00元,None,NonemAh,None,None,None
,199.00元,None,NonemAh,None,None,None
,6258.00元,None,NonemAh,None,None,None
三星（SAMSUNG） Galaxy C9 Pro （C9000） 蔷薇粉 64G,2499.00元,6GB,4000mAhmAh,金色,1600万像素,1600万像素
,4240.00元,None,NonemAh,None,None,None
三星 Galaxy Folder2 （G1650）移动联通4G手机 16G 琉璃黑,1799.00元,2GB,1950mAh,其他,500万像素,500万像素；800万像素
,258.00元,None,NonemAh,None,None,None
三星（SAMSUNG） Galaxy C7 Pro(C7010) 移动联通电信4G双卡手机 枫叶金 全网通(4G+64G),1955.00元,4GB,3300 以官网信息为准mAh,其他,1600万像素,1600万像素
,399.00元,None,NonemAh,None,None,None
,299.00元,None,NonemAh,None,None,None
,388.00元,None,NonemAh,None,None,None
,388.00元,None,NonemAh,None,None,None
,4858.00元,None,NonemAh,None,None,None
三星（SAMSUNG） GALAXY J5（J5008）移动4G智能老人机手机 金 色 （1.5G+16G）,837.00元,1.5GB,2600mAh,金色,500万像素,1300万像素
SAMSUNG 三星S8 G9500 移动联通电信4G手机 双卡双待 勃垦第红 全网通(4G+64G),4999.00元,"
                    ",3000mAh,其他,800万像素,1200万像素
三星（SAMSUNG） 三星G9298 三星领世旗舰8 大器5 双屏翻盖智能手机 黑色 移动联通双4G（4GB+64GB）,9788.00元,4GB,2300mAhmAh,其他,500万像素,1200万像素
,5539.00元,None,NonemAh,None,None,None
三星（SAMSUNG） 三星 Galaxy J3（J3300）全网通4G手机 金色 （3G RAM+32G ROM）,938.00元,3GB,约2600mAhmAh,黑色,500万像素,1300万像素
,6099.00元,None,NonemAh,None,None,None
三星（SAMSUNG） 大器5 领世旗舰8 G9298 移动联通双4G 智能翻盖手机,11600.00元,4GB,2300mAh,黑色,500万像素；其他,1200万像素
三星（SAMSUNG） 三星 Galaxy C8 手机 墨玉黑 全网通(4GRAM+64GROM)标配,1708.00元,4GB,3000mAh,其他,1600万像素,其他
,3220.00元,None,NonemAh,None,None,None
,4858.00元,None,NonemAh,None,None,None
,199.00元,None,NonemAh,None,None,None
,4890.00元,None,NonemAh,None,None,None
三星（SAMSUNG） 三星W2016 双卡双待 4G手机 尊贵金 电信4G(3GRAM+64GROM),4949.00元,3GB,2000mAhmAh,其他,500万像素,1600万像素
三星（SAMSUNG） Galaxy C8（C7100）全网通4G智能手机 双卡双待 蔷薇粉（3G+32G）,1499.00元,4GB,3000mAh,其他,1600万像素,500万像素；1300万像素
三星（SAMSUNG） J3（SM-J3300）手机 嫣霞粉 全网通(3G+32G),909.00元,3GB,2600mAh,其他,500万像素,1300万像素
三星（SAMSUNG） 三星 C8 全网通 电信移动联通 4G手机 金色 3+32G,1458.00元,其他,0mAh,其他,1600万像素,500万像素；1300万像素
三星（SAMSUNG） 三星 领世旗舰8（G9298）翻盖手机 黑色 移动联通双4G(4G RAM+64G ROM),9788.00元,4GB,2300mAh,黑色,500万像素,1200万像素
,6558.00元,None,NonemAh,None,None,None
,12.00元,None,NonemAh,None,None,None
三星（SAMSUNG） Galaxy On7（G6000）全网通4G 智能老人机手机 金色16G 全网通,1079.00元,1.5GB,3000mAh,金色,500万像素,1300万像素
,188.00元,None,NonemAh,None,None,None
,4699.00元,None,NonemAh,None,None,None
三星（SAMSUNG） Galaxy C8（SM-C7100） 墨玉黑 全网通(4G+64G),1686.00元,4GB,3000mAhmAh,其他,1600万像素,500万像素；1300万像素
,4899.00元,None,NonemAh,None,None,None
三星 Galaxy Note8（SM-N9500）6GB+256GB 谜夜黑 移动联通电信4G手机 双卡双待,7988.00元,6GB,3300mAhmAh,谜夜黑,800万像素,双1200万像素
三星 Galaxy Folder2 （SM-G1650）2GB+16GB 琉璃黑 移动联通电信4G翻盖手机 双卡双待,1799.00元,"
                    ",1950mAh,琉璃黑,500万像素,800万像素
,388.00元,None,NonemAh,None,None,None
三星（SAMSUNG） Galaxy C8（SM-C7100）移动联通电信4G双卡手机 黑色 全网通(4G+64G),1655.00元,其他,3000 以官网信息为准mAh,其他,1600万像素,500万像素；1300万像素
,499.00元,None,NonemAh,None,None,None
